CONTAINER ID   IMAGE                                             COMMAND                  CREATED       STATUS                     PORTS                                                                                                                                                                                                                                                                                       NAMES
87d957d7d7af   otel/opentelemetry-collector-contrib-dev:latest   "/otelcontribcol --c…"   3 hours ago   Up 3 hours                 0.0.0.0:1888->1888/tcp, :::1888->1888/tcp, 0.0.0.0:4317->4317/tcp, :::4317->4317/tcp, 0.0.0.0:8889->8889/tcp, :::8889->8889/tcp, 0.0.0.0:13133->13133/tcp, :::13133->13133/tcp, 55680/tcp, 0.0.0.0:32769->8888/tcp, [::]:32769->8888/tcp, 0.0.0.0:32770->55679/tcp, [::]:32770->55679/tcp   2501ytc-otel-collector-1
aed0802b1bda   minio/minio:latest                                "/usr/bin/docker-ent…"   3 hours ago   Up 3 hours                 0.0.0.0:9000-9001->9000-9001/tcp, :::9000-9001->9000-9001/tcp                                                                                                                                                                                                                               2501ytc-minio-1
34d707855bdf   grafana/grafana:latest                            "/run.sh"                3 hours ago   Up 3 hours                 0.0.0.0:3000->3000/tcp, :::3000->3000/tcp                                                                                                                                                                                                                                                   2501ytc-grafana-1
b1e6497e774a   getmeili/meilisearch:v1.12.5                      "tini -- /bin/sh -c …"   3 hours ago   Up 3 hours                 0.0.0.0:7700->7700/tcp, :::7700->7700/tcp                                                                                                                                                                                                                                                   2501ytc-meilisearch-1
5857c8f00fb3   rabbitmq:3-management                             "docker-entrypoint.s…"   3 hours ago   Up 3 hours                 4369/tcp, 5671/tcp, 0.0.0.0:5672->5672/tcp, :::5672->5672/tcp, 15671/tcp, 15691-15692/tcp, 25672/tcp, 0.0.0.0:15672->15672/tcp, :::15672->15672/tcp                                                                                                                                         rabbitmq
9bbf3fd20d9f   redis:latest                                      "docker-entrypoint.s…"   3 hours ago   Up 3 hours                 0.0.0.0:6379->6379/tcp, :::6379->6379/tcp                                                                                                                                                                                                                                                   2501ytc-redis-1
966fcf1a9153   jaegertracing/all-in-one:latest                   "/go/bin/all-in-one-…"   3 hours ago   Up 3 hours                 4318/tcp, 9411/tcp, 14250/tcp, 0.0.0.0:6831->6831/tcp, :::6831->6831/tcp, 14268/tcp, 0.0.0.0:16686->16686/tcp, :::16686->16686/tcp, 0.0.0.0:32768->4317/tcp, [::]:32768->4317/tcp                                                                                                           jaeger-all-in-one
7f63b38464e3   victoriametrics/victoria-metrics                  "/victoria-metrics-p…"   3 hours ago   Up 3 hours                 0.0.0.0:2003->2003/tcp, :::2003->2003/tcp, 0.0.0.0:4242->4242/tcp, 0.0.0.0:2003->2003/udp, :::4242->4242/tcp, :::2003->2003/udp, 0.0.0.0:8089->8089/tcp, :::8089->8089/tcp, 0.0.0.0:8428->8428/tcp, 0.0.0.0:8089->8089/udp, :::8428->8428/tcp, :::8089->8089/udp                            victoriametrics
4ae0156877a6   mysql:8.0                                         "docker-entrypoint.s…"   3 hours ago   Exited (1) 2 minutes ago                                                                                                                                                                                                                                                                                               2501ytc-mysql-1
0d9c4cdb4264   hashicorp/consul                                  "docker-entrypoint.s…"   6 hours ago   Up 3 hours                 8300-8302/tcp, 8301-8302/udp, 8600/tcp, 8600/udp, 0.0.0.0:8500->8500/tcp, :::8500->8500/tcp                                                                                                                                                                                                 2501ytc-consul-1
